contrast_type,target_year,method,metric,n,mean_difference,ci95_low,ci95_high
method_minus_scp,2015,RLCP-Ridge,coverage_deficit,20,-0.009350000000000002,-0.015717087521111863,-0.0029829124788881426
method_minus_scp,2015,RLCP-Ridge,coverage_gap,20,-0.009350000000000002,-0.015717087521111863,-0.0029829124788881426
method_minus_scp,2015,RLCP-Ridge,mean_width_finite,20,0.034962199984100065,0.01603942766884677,0.05388497229935336
method_minus_scp,2015,RLCP-Ridge,interval_score_finite,20,0.1948214322508269,0.149567862517763,0.2400750019838908
method_minus_scp,2015,Target-Cal-SCP-Reference,coverage_deficit,20,-0.25579999999999997,-0.27731237777415435,-0.2342876222258456
method_minus_scp,2015,Target-Cal-SCP-Reference,coverage_gap,20,-0.25075000000000003,-0.2717362778512169,-0.22976372214878316
method_minus_scp,2015,Target-Cal-SCP-Reference,mean_width_finite,20,0.9814600385039126,0.8976419563681876,1.0652781206396376
method_minus_scp,2015,Target-Cal-SCP-Reference,interval_score_finite,20,-1.0849195220921501,-1.2229957403639686,-0.9468433038203318
2015_minus_2014,2015,SCP-Ridge,coverage_deficit,20,0.21655000000000002,0.20095771013541253,0.23214228986458751
2015_minus_2014,2015,SCP-Ridge,coverage_gap,20,0.21655000000000002,0.20095771013541253,0.23214228986458751
2015_minus_2014,2015,SCP-Ridge,mean_width_finite,20,0.0,0.0,0.0
2015_minus_2014,2015,SCP-Ridge,interval_score_finite,20,1.5436388743523992,1.3500945335605037,1.7371832151442947
2015_minus_2014,2015,Estimated-WCP-Logit,coverage_deficit,20,0.06399999999999999,0.044350434001339166,0.0836495659986608
2015_minus_2014,2015,Estimated-WCP-Logit,coverage_gap,20,0.0605,0.03921989880165503,0.08178010119834497
2015_minus_2014,2015,Estimated-WCP-Logit,mean_width_finite,20,0.2761885925031676,0.21086241604984207,0.3415147689564931
2015_minus_2014,2015,Estimated-WCP-Logit,interval_score_finite,20,0.7042288098121948,0.5775983525941367,0.8308592670302529
2015_minus_2014,2015,Estimated-WCP-HGB,coverage_deficit,20,0.0,0.0,0.0
2015_minus_2014,2015,Estimated-WCP-HGB,coverage_gap,20,-0.00625,-0.017649297686646838,0.005149297686646839
2015_minus_2014,2015,Estimated-WCP-HGB,mean_width_finite,20,0.32616377287943277,-0.2127217665751583,0.8650493123340238
2015_minus_2014,2015,Estimated-WCP-HGB,interval_score_finite,20,0.11434070038263906,-0.22893204019784058,0.4576134409631187
2015_minus_2014,2015,KMM-CP-Ridge,coverage_deficit,20,0.0546,0.028054485521445172,0.08114551447855484
2015_minus_2014,2015,KMM-CP-Ridge,coverage_gap,20,0.05735000000000001,0.032845064976808995,0.08185493502319102
2015_minus_2014,2015,KMM-CP-Ridge,mean_width_finite,20,0.49770028676452666,0.3770529931131063,0.618347580415947
2015_minus_2014,2015,KMM-CP-Ridge,interval_score_finite,20,0.6955376338612954,0.5436352070555405,0.8474400606670504
2015_minus_2014,2015,RLCP-Ridge,coverage_deficit,20,0.2002,0.18316192080935476,0.21723807919064522
2015_minus_2014,2015,RLCP-Ridge,coverage_gap,20,0.2002,0.18316192080935476,0.21723807919064522
2015_minus_2014,2015,RLCP-Ridge,mean_width_finite,20,0.04658121114441218,0.03370756961177239,0.05945485267705197
2015_minus_2014,2015,RLCP-Ridge,interval_score_finite,20,1.6886689174475804,1.4974988675289658,1.879838967366195
2015_minus_2014,2015,Target-Cal-SCP-Reference,coverage_deficit,20,-0.003350000000000003,-0.009587209833828427,0.002887209833828421
